longitude,latitude,h,ts,u,v
4.000000,46.000000,2743.200000,0.000000,1.804869,-0.841630
6.000000,46.000000,2743.200000,0.000000,3.402757,12.159582
8.000000,46.000000,2743.200000,0.000000,-1.868206,4.988510
10.000000,46.000000,2743.200000,0.000000,2.835117,6.601715
12.000000,46.000000,2743.200000,0.000000,7.369943,7.525759
14.000000,46.000000,2743.200000,0.000000,12.239973,7.215645
16.000000,46.000000,2743.200000,0.000000,9.046826,7.409796
2.000000,48.000000,2743.200000,0.000000,0.406073,1.335033
4.000000,48.000000,2743.200000,0.000000,3.082086,1.536131
6.000000,48.000000,2743.200000,0.000000,5.095487,1.190286
8.000000,48.000000,2743.200000,0.000000,2.272427,3.411631
10.000000,48.000000,2743.200000,0.000000,0.598781,7.018695
12.000000,48.000000,2743.200000,0.000000,2.044764,5.285491
14.000000,48.000000,2743.200000,0.000000,1.365241,3.598426
16.000000,48.000000,2743.200000,0.000000,3.023307,6.052060
2.000000,50.000000,2743.200000,0.000000,5.164124,2.738852
4.000000,50.000000,2743.200000,0.000000,7.869274,0.123268
6.000000,50.000000,2743.200000,0.000000,6.181901,1.723879
8.000000,50.000000,2743.200000,0.000000,5.716633,1.549138
10.000000,50.000000,2743.200000,0.000000,4.862612,1.966284
12.000000,50.000000,2743.200000,0.000000,6.504674,3.194416
14.000000,50.000000,2743.200000,0.000000,7.945961,4.579501
16.000000,50.000000,2743.200000,0.000000,6.307510,3.390089
2.000000,52.000000,2743.200000,0.000000,2.037446,-3.521175
4.000000,52.000000,2743.200000,0.000000,5.436566,-0.902890
6.000000,52.000000,2743.200000,0.000000,7.246600,2.233099
8.000000,52.000000,2743.200000,0.000000,4.065354,6.831486
10.000000,52.000000,2743.200000,0.000000,4.824424,4.202188
12.000000,52.000000,2743.200000,0.000000,6.719558,2.392804
14.000000,52.000000,2743.200000,0.000000,7.779631,4.740057
16.000000,52.000000,2743.200000,0.000000,7.373337,4.640722
2.000000,54.000000,2743.200000,0.000000,1.342579,-5.784953
4.000000,54.000000,2743.200000,0.000000,-0.955536,-0.863821
6.000000,54.000000,2743.200000,0.000000,-0.932424,6.594341
8.000000,54.000000,2743.200000,0.000000,-1.093641,7.366836
10.000000,54.000000,2743.200000,0.000000,-2.299983,4.135364
12.000000,54.000000,2743.200000,0.000000,-4.023074,5.590634
14.000000,54.000000,2743.200000,0.000000,-4.363764,3.856275
16.000000,54.000000,2743.200000,0.000000,-1.986918,1.084393
2.000000,40.000000,5181.600000,0.000000,3.636453,10.645896
4.000000,40.000000,5181.600000,0.000000,10.274786,16.011568
6.000000,40.000000,5181.600000,0.000000,14.876708,16.596090
8.000000,40.000000,5181.600000,0.000000,16.494002,17.020281
10.000000,40.000000,5181.600000,0.000000,20.844845,18.729746
12.000000,40.000000,5181.600000,0.000000,25.426835,24.167940
14.000000,40.000000,5181.600000,0.000000,32.508203,17.665620
16.000000,40.000000,5181.600000,0.000000,34.918663,11.444108
2.000000,42.000000,5181.600000,0.000000,1.006564,12.337724
4.000000,42.000000,5181.600000,0.000000,10.972614,13.701905
6.000000,42.000000,5181.600000,0.000000,10.958717,14.015137
8.000000,42.000000,5181.600000,0.000000,10.505147,18.519264
10.000000,42.000000,5181.600000,0.000000,9.201471,14.473432
12.000000,42.000000,5181.600000,0.000000,14.115667,11.851392
14.000000,42.000000,5181.600000,0.000000,22.557296,11.718401
16.000000,42.000000,5181.600000,0.000000,22.590158,6.839947
2.000000,44.000000,5181.600000,0.000000,9.081602,10.267388
4.000000,44.000000,5181.600000,0.000000,4.616827,14.148464
6.000000,44.000000,5181.600000,0.000000,6.949684,17.127217
8.000000,44.000000,5181.600000,0.000000,10.831563,16.220147
10.000000,44.000000,5181.600000,0.000000,13.922287,14.387252
12.000000,44.000000,5181.600000,0.000000,15.414147,11.202506
14.000000,44.000000,5181.600000,0.000000,17.222661,11.026558
16.000000,44.000000,5181.600000,0.000000,18.990004,10.429273
2.000000,46.000000,5181.600000,0.000000,9.177066,10.842857
4.000000,46.000000,5181.600000,0.000000,7.708403,13.275237
6.000000,46.000000,5181.600000,0.000000,9.666297,13.072201
8.000000,46.000000,5181.600000,0.000000,13.451901,14.276054
10.000000,46.000000,5181.600000,0.000000,13.261859,16.291654
12.000000,46.000000,5181.600000,0.000000,14.300223,10.094842
14.000000,46.000000,5181.600000,0.000000,14.397889,9.350990
16.000000,46.000000,5181.600000,0.000000,15.582112,7.786552
2.000000,48.000000,5181.600000,0.000000,9.740584,10.066808
4.000000,48.000000,5181.600000,0.000000,14.230848,16.912772
6.000000,48.000000,5181.600000,0.000000,8.229619,16.439457
8.000000,48.000000,5181.600000,0.000000,14.004009,16.232968
10.000000,48.000000,5181.600000,0.000000,13.903478,13.483386
12.000000,48.000000,5181.600000,0.000000,14.775684,9.638933
14.000000,48.000000,5181.600000,0.000000,15.814578,7.288403
16.000000,48.000000,5181.600000,0.000000,15.622563,7.397030
2.000000,50.000000,5181.600000,0.000000,9.872765,8.780715
4.000000,50.000000,5181.600000,0.000000,10.121461,9.103998
6.000000,50.000000,5181.600000,0.000000,14.240106,13.618279
8.000000,50.000000,5181.600000,0.000000,17.447282,14.487968
10.000000,50.000000,5181.600000,0.000000,19.603957,13.373833
12.000000,50.000000,5181.600000,0.000000,20.233137,10.570264
14.000000,50.000000,5181.600000,0.000000,18.134056,7.850491
16.000000,50.000000,5181.600000,0.000000,13.216262,8.304983
2.000000,52.000000,5181.600000,0.000000,6.448501,1.450001
4.000000,52.000000,5181.600000,0.000000,11.428215,7.672489
6.000000,52.000000,5181.600000,0.000000,14.253307,11.020246
8.000000,52.000000,5181.600000,0.000000,12.680846,9.931588
10.000000,52.000000,5181.600000,0.000000,13.048919,8.394514
12.000000,52.000000,5181.600000,0.000000,15.437063,9.003993
14.000000,52.000000,5181.600000,0.000000,15.539085,10.720557
16.000000,52.000000,5181.600000,0.000000,18.500456,10.336725
2.000000,54.000000,5181.600000,0.000000,-1.341178,0.228345
4.000000,54.000000,5181.600000,0.000000,-4.102252,3.163494
6.000000,54.000000,5181.600000,0.000000,-0.601304,4.306828
8.000000,54.000000,5181.600000,0.000000,3.100729,7.919741
10.000000,54.000000,5181.600000,0.000000,6.163810,8.555391
12.000000,54.000000,5181.600000,0.000000,7.028705,8.315217
14.000000,54.000000,5181.600000,0.000000,9.751734,6.966635
16.000000,54.000000,5181.600000,0.000000,12.870160,6.137215
2.000000,40.000000,7620.000000,0.000000,7.797551,21.299922
4.000000,40.000000,7620.000000,0.000000,12.567859,23.912441
6.000000,40.000000,7620.000000,0.000000,18.580026,31.966610
8.000000,40.000000,7620.000000,0.000000,23.043566,39.733820
10.000000,40.000000,7620.000000,0.000000,30.579468,39.931087
12.000000,40.000000,7620.000000,0.000000,29.542730,28.288663
